#mpa_vJan25_CHOCOPhlAnSGB_202503
clade_name	SRR11047625	SRR11047626	SRR11047627	SRR11047628	SRR11047629	SRR11047631	SRR11047632	SRR11047633	SRR11047634	SRR11047635	SRR11047636	SRR11047637	SRR11047639	SRR11047640	SRR11047641	SRR11047642	SRR11047643	SRR11047644	SRR11047645	SRR11047647	SRR11047648	SRR11047649	SRR11047650	SRR11047651	SRR11047653	SRR11047654	SRR11047655	SRR11047656	SRR11047657	SRR11047658	SRR11047659	SRR11047660	SRR11047661	SRR11047662	SRR11047663	SRR11047664	SRR11047665	SRR11047666	SRR11047667	SRR11047668	SRR11047669	SRR11047670	SRR11047671	SRR11047672
k__Bacteria|p__Firmicutes|c__CFGB9491	0.004123	0.0	0.0	0.0	0.006153	0.004861	0.0	0.0	0.024254	0.013393	0.0	0.016936	0.0	0.004916	0.0	0.0	0.0	0.006919	0.010276	0.0	0.086525	0.00306	0.0	0.0	0.193019	0.0	0.0	0.0	0.0	0.026935	0.01963	0.012818	0.0	0.0	0.077587	0.003808	0.0	0.0	0.0	0.001909	0.0	0.101748	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB41726	0.003455	0.0	0.745763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.001748	0.0	0.0	0.0	0.0	0.0	0.035331	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2920	0.003263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000596	0.0	0.0	0.795322	0.417219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3004	0.002898	0.0	0.024791	0.0	0.0	0.0207	0.003527	0.0	0.016111	0.00366	0.01292	0.001734	0.004291	0.004073	0.0	0.000243	0.001681	9.3e-05	0.003691	0.007071	0.0	0.000613	0.0	0.0	0.016539	0.0	0.0	0.0	0.0	0.00161	0.000633	0.000759	0.0	0.006514	0.002629	0.000927	0.0	0.0	0.0	0.0	0.0	0.002375	5.5e-05	0.000892
k__Bacteria|p__Firmicutes|c__CFGB3034	0.002776	0.002661	0.001979	0.0	0.003978	0.043093	0.000291	0.0	0.045064	7.4e-05	0.011841	0.00888	0.010105	0.005279	0.0	0.0	0.0	0.0	0.001044	0.0	0.0	0.007781	0.004344	0.001673	0.016203	0.0	0.0	0.004777	0.0	0.010551	0.008759	0.013186	0.0	0.004288	0.007828	0.002832	0.0	0.019732	0.0	0.008603	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB93863	0.001214	0.0	4.7e-05	0.0	0.007629	0.0	0.0	0.0	0.002695	0.0	0.0	0.0	0.0	0.000279	0.0	0.0	0.0	0.0	0.003065	0.00606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00261	0.0	0.000237	0.0	0.0	0.01457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB48199	0.0003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023595	0.0	0.057761	0.0	0.004275	0.029354	0.0	0.042419	0.0	0.0	0.220962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002517	0.0	0.0	0.0	0.0	0.0	0.0	0.020146	0.0	0.0	0.007668	0.003337	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	60.000779	75.027874	23.713776	63.367511	46.506569	34.830163	33.53186	59.515712	24.271979	57.835156	35.809715	44.190249	51.630999	38.253215	65.149706	50.17316	46.421569	55.924592	40.521425	36.116746	24.702097	69.841028	30.222632	48.741863	22.019365	47.968968	33.938157	44.844918	70.598994	38.510407	56.282285	24.618602	33.936764	29.298557	15.274853	37.618695	52.264648	47.343017	17.333462	11.225027	47.721998	59.434742	70.782702	49.964472
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	12.379348	7.668718	24.326298	6.500485	12.64456	10.348566	20.430676	7.280648	28.202213	10.664478	21.795812	16.798725	13.621616	19.193759	13.096114	9.970909	12.532491	8.80779	18.697172	12.846033	6.443807	11.799424	18.964631	3.970223	23.338691	8.649478	15.29909	12.940367	10.832592	17.581988	10.279866	26.894276	10.57072	31.615874	22.877272	15.933343	10.667198	14.764332	17.220707	8.493192	12.576374	8.85367	5.310303	12.623501
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales	12.034022	3.972171	8.743347	13.362976	9.626779	8.333078	12.058162	7.130866	6.739314	12.516223	8.487179	8.836878	16.398378	3.630999	8.998688	15.844738	11.927717	2.918412	9.851541	8.527811	20.833822	2.339097	22.535838	22.684188	22.849262	9.51366	13.636342	8.399021	7.677016	19.164008	15.43043	10.422537	32.097484	19.984671	26.022326	13.823471	22.11257	14.520125	42.942125	31.799907	12.294197	12.778544	8.571439	16.856434
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.815543	0.223418	0.273663	0.11608	0.077352	0.300846	0.358628	0.115214	0.922222	0.585018	0.710479	0.080475	0.428414	0.688831	0.304878	0.744689	0.152611	0.081212	0.106174	0.217808	1.227883	0.115465	0.775121	0.901604	2.006501	0.291798	0.11649	0.072865	0.082391	0.474196	0.188663	0.480235	0.214175	0.234442	1.080291	0.311449	0.019041	0.09621	2.662908	1.294729	0.548694	0.061355	0.146406	0.075961
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012	0.663312	0.0	0.0	1.376208	0.608962	1.071602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.296785	0.0	0.474103	0.0	0.105305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.871738	0.0	0.0	0.0	0.497097	1.752567	0.0	0.287169	0.0	2.555096	0.0	0.0	0.0	0.420859
