#mpa_vJan25_CHOCOPhlAnSGB_202503
clade_name	ERR2784728	ERR2784729	ERR2784730	ERR2784731	ERR2784741	ERR2784742	ERR2784743	ERR2784752	ERR2784753	ERR2784754	ERR2784755	ERR2784756	ERR2784757	ERR2784759	ERR2784760	ERR2784761	ERR2784762	ERR2784763	ERR2784780	ERR2784781	ERR2784782	ERR2784783	ERR2784796	ERR2784797	ERR2784798	ERR2784799	ERR2784800	ERR2784801	ERR2784802	ERR2784803	ERR2784804	ERR2784805	ERR2784806	ERR2784807	ERR2784808	ERR2784809	ERR2784810	ERR2784811	ERR2784816	ERR2784817	ERR2784818	ERR2784824	ERR2784826	ERR2784827
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales	1.601177	1.778162	1.707303	1.638969	1.335813	1.326861	1.310644	0.115223	0.110178	0.106933	0.096307	0.727997	0.705462	0.684721	0.0	0.0	0.0	0.0	0.246839	0.287354	0.261785	0.259413	1.16785	1.072648	1.115228	1.171972	0.891982	0.87455	0.859664	0.888825	0.219698	0.267416	0.043373	0.0	0.124289	0.073972	0.145039	0.140681	2.211836	2.407863	2.286835	1.616332	1.67032	1.675549
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia|o__Desulfovibrionales	1.036316	0.752902	0.928193	0.871417	0.0	0.0	0.0	0.27515	0.242363	0.233654	0.228601	0.117238	0.146099	0.144093	0.291378	0.255017	0.272917	0.27821	0.367862	0.329785	0.326596	0.327086	0.180395	0.154589	0.194757	0.145695	0.095518	0.078415	0.090848	0.080949	0.300587	0.320239	0.0	0.283596	0.048688	0.028942	0.031998	0.027786	0.095024	0.104485	0.111703	0.160775	0.131853	0.147812
k__Bacteria|p__Firmicutes|c__CFGB3054|o__OFGB3054	0.680506	0.5682	0.635462	0.65822	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.648237	0.798198	0.630302	0.0	0.0	0.0	0.0	0.524855	0.547319	0.534379	0.560996	0.299733	0.23553	0.276292	0.273827	0.02793	0.050376	0.042704	0.040628	0.361891	0.246253	0.0	0.068003	0.0	0.0	0.0	0.0	0.27173	0.223237	0.248731	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	0.567321	0.599499	0.595035	0.621541	0.421033	0.464979	0.433439	0.534272	0.539897	0.409069	0.517749	0.218247	0.242781	0.184838	0.0	0.0	0.0	0.0	0.317291	0.329704	0.301794	0.33358	0.512646	0.478936	0.512421	0.509813	1.158832	1.140373	1.110663	1.072606	0.0	0.0	0.0	0.0	0.245635	0.323538	0.308455	0.36015	0.751792	0.705628	0.722706	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.488192	0.605437	0.627646	0.528998	0.920582	0.900246	1.010627	0.031088	0.028561	0.007726	0.023118	0.068276	0.069971	0.069985	0.224465	0.185021	0.196078	0.228649	0.274262	0.351156	0.272861	0.208113	0.120989	0.148408	0.166405	0.121153	0.270257	0.32235	0.291651	0.27936	0.489813	0.527808	0.20237	0.081441	0.202766	0.20969	0.16772	0.186074	0.104487	0.106663	0.119589	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales	0.388689	0.301762	0.331105	0.266072	0.021521	0.007885	0.010488	0.120639	0.124229	0.115881	0.120632	0.210458	0.219209	0.204024	0.0	0.0	0.0	0.0	0.416915	0.356258	0.355237	0.383929	0.037228	0.035858	0.03577	0.033289	0.086867	0.068929	0.069439	0.060353	0.240911	0.312567	0.08799	0.087854	0.195513	0.203196	0.184218	0.155208	0.17213	0.179344	0.174083	0.023353	0.027192	0.021976
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales	0.318855	0.312369	0.262732	0.268955	0.166827	0.135056	0.141883	0.21792	0.2182	0.209444	0.213969	0.320697	0.306474	0.296235	0.0	0.0	0.0	0.0	1.269562	1.233514	1.21422	1.195584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.208825	0.126057	0.0	0.0	0.160456	0.151896	0.142164	0.118641	0.65696	0.564242	0.542736	0.32657	0.25484	0.296194
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765	0.292049	0.363991	0.325913	0.312573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.230724	6.721642	6.577997	6.694379	2.872513	2.999558	2.933628	2.9693	1.021435	0.988551	1.073165	1.057003	0.405035	0.373762	0.488002	0.449146	0.0	0.0	0.0	0.0	4.036923	4.223516	4.224615	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__CFGB529|o__OFGB529	0.217932	0.199123	0.248779	0.275219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21555	0.1998	0.234564	0.20797	0.0	0.0	0.0	0.0	0.748851	0.920465	0.526361	0.415204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__CFGB4405|o__OFGB4405	0.152471	0.135865	0.125504	0.108691	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.93133	1.851768	1.868468	1.905031	0.331709	0.269001	0.0	0.039185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
