taxon	ERR2784756	ERR2784762	ERR2784782	ERR2784818	ERR2784799	ERR2784811	ERR2784807	ERR2784826	ERR2784808	ERR2784760	ERR2784757	ERR2784731	ERR2784817	ERR2784753	ERR2784796	ERR2784783	ERR2784781	ERR2784805	ERR2784806	ERR2784803	ERR2784797	ERR2784741	ERR2784730	ERR2784759	ERR2784809	ERR2784800	ERR2784754	ERR2784742	ERR2784827	ERR2784810	ERR2784728	ERR2784802	ERR2784801	ERR2784755	ERR2784804	ERR2784763	ERR2784761	ERR2784816	ERR2784752	ERR2784780	ERR2784824	ERR2784743	ERR2784729	ERR2784798
Klebsiella pneumoniae	126.0	23.0	187.0	86.0	68.0	35.0	5.0	40.0	26.0	19.0	137.0	26.0	86.0	17.0	120.0	155.0	152.0	21.0	10.0	35.0	103.0	828.0	25.0	134.0	27.0	21.0	98.0	849.0	25.0	47.0	31.0	32.0	21.0	25.0	28.0	16.0	8.0	108.0	29.0	179.0	32.0	761.0	26.0	120.0
Prevotella histicola	4.0	2.0	19.0	72.0	226.0	10.0	44.0	342.0	15.0	3.0	4.0	67.0	97.0	18.0	280.0	16.0	14.0	156.0	35.0	363.0	290.0	33.0	68.0	4.0	12.0	434.0	11.0	20.0	315.0	11.0	78.0	384.0	447.0	10.0	171.0	1.0	3.0	113.0	9.0	21.0	372.0	28.0	91.0	219.0
Kluyvera ascorbata	5.0	1.0	10.0	4.0	15.0	0.0	4.0	1554.0	0.0	1.0	2.0	2.0	8.0	2.0	29.0	7.0	4.0	8.0	4.0	3.0	20.0	1.0	3.0	3.0	2.0	0.0	2.0	2.0	1391.0	2.0	10.0	0.0	1.0	1.0	7.0	1.0	4.0	3.0	10.0	8.0	1745.0	2.0	5.0	10.0
Selenomonas sp.	32.0	10.0	94.0	74.0	79.0	0.0	77.0	35.0	9.0	32.0	29.0	15.0	93.0	23.0	106.0	85.0	97.0	211.0	74.0	605.0	93.0	23.0	15.0	24.0	5.0	718.0	32.0	15.0	29.0	6.0	24.0	677.0	735.0	17.0	265.0	19.0	23.0	103.0	26.0	102.0	33.0	9.0	11.0	83.0
Eubacterium maltosivorans	84.0	73.0	178.0	202.0	213.0	58.0	3.0	133.0	87.0	67.0	51.0	62.0	206.0	171.0	240.0	184.0	219.0	9.0	4.0	45.0	232.0	57.0	51.0	51.0	54.0	61.0	182.0	52.0	126.0	68.0	68.0	61.0	61.0	145.0	15.0	64.0	65.0	241.0	187.0	246.0	155.0	48.0	56.0	211.0
Christensenella minuta	79.0	30.0	192.0	208.0	201.0	41.0	5.0	223.0	33.0	30.0	87.0	65.0	218.0	115.0	276.0	174.0	228.0	27.0	9.0	80.0	222.0	76.0	71.0	83.0	25.0	94.0	128.0	59.0	194.0	17.0	104.0	78.0	81.0	80.0	38.0	31.0	26.0	227.0	140.0	202.0	208.0	54.0	69.0	207.0
Allocoprobacillus halotolerans	88.0	13.0	74.0	105.0	55.0	575.0	5.0	51.0	704.0	23.0	69.0	36.0	135.0	96.0	73.0	87.0	100.0	19.0	7.0	19.0	45.0	21.0	31.0	64.0	722.0	18.0	87.0	33.0	42.0	638.0	58.0	15.0	19.0	87.0	26.0	26.0	19.0	143.0	102.0	96.0	58.0	17.0	47.0	57.0
Erysipelatoclostridium sp. An173	18.0	22.0	314.0	111.0	123.0	80.0	7.0	63.0	97.0	25.0	23.0	22.0	120.0	426.0	136.0	250.0	326.0	22.0	10.0	25.0	123.0	17.0	29.0	25.0	97.0	37.0	419.0	14.0	47.0	80.0	27.0	19.0	28.0	354.0	20.0	21.0	27.0	133.0	478.0	316.0	58.0	13.0	31.0	121.0
Bengtsoniella intestinalis	71.0	16.0	125.0	325.0	209.0	10.0	9.0	216.0	17.0	28.0	99.0	62.0	376.0	51.0	292.0	116.0	137.0	40.0	12.0	47.0	253.0	135.0	51.0	49.0	24.0	68.0	43.0	99.0	165.0	22.0	66.0	47.0	65.0	42.0	51.0	16.0	31.0	410.0	70.0	145.0	258.0	100.0	83.0	192.0
Streptococcus suis	47.0	22.0	136.0	265.0	124.0	96.0	18.0	259.0	88.0	26.0	60.0	98.0	295.0	67.0	198.0	113.0	119.0	28.0	16.0	52.0	132.0	72.0	128.0	38.0	85.0	88.0	62.0	77.0	241.0	101.0	142.0	51.0	57.0	63.0	55.0	19.0	22.0	326.0	69.0	149.0	314.0	54.0	126.0	139.0
